[2025-03-26T13:46:41.578+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:46:41.920+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:50:00+00:00 [queued]>
[2025-03-26T13:46:41.985+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:50:00+00:00 [queued]>
[2025-03-26T13:46:41.991+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:46:42.464+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app1> on 2025-03-25 01:50:00+00:00
[2025-03-26T13:46:42.529+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=711) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:46:42.531+0000] {standard_task_runner.py:72} INFO - Started process 723 to run task
[2025-03-26T13:46:42.780+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app1', 'scheduled__2025-03-25T01:50:00+00:00', '--job-id', '66', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmpv_t7hf_5']
[2025-03-26T13:46:42.783+0000] {standard_task_runner.py:105} INFO - Job 66: Subtask php_app1
[2025-03-26T13:46:43.203+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:50:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:46:47.975+0000] {docker.py:69} INFO -     int(1742996302)
[2025-03-26T13:46:47.976+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:47.977+0000] {docker.py:69} INFO -   [7]=>
[2025-03-26T13:46:47.977+0000] {docker.py:69} INFO -   object(stdClass)#9 (3) {
[2025-03-26T13:46:47.978+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:47.978+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:47.979+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:47.979+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:46:47.979+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:47.980+0000] {docker.py:69} INFO -     int(1742996303)
[2025-03-26T13:46:47.980+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:47.981+0000] {docker.py:69} INFO -   [8]=>
[2025-03-26T13:46:47.981+0000] {docker.py:69} INFO -   object(stdClass)#10 (3) {
[2025-03-26T13:46:47.981+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:47.982+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:47.982+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:47.983+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:47.991+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:47.992+0000] {docker.py:69} INFO -     int(1742996304)
[2025-03-26T13:46:47.992+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:47.993+0000] {docker.py:69} INFO -   [9]=>
[2025-03-26T13:46:47.993+0000] {docker.py:69} INFO -   object(stdClass)#11 (3) {
[2025-03-26T13:46:47.994+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:47.994+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:47.995+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:47.995+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:46:47.996+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:47.996+0000] {docker.py:69} INFO -     int(1742996305)
[2025-03-26T13:46:47.997+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:47.997+0000] {docker.py:69} INFO -   [10]=>
