[2025-03-26T13:46:25.048+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:46:25.140+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:30:00+00:00 [queued]>
[2025-03-26T13:46:25.512+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:30:00+00:00 [queued]>
[2025-03-26T13:46:25.513+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:46:26.890+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app1> on 2025-03-25 01:30:00+00:00
[2025-03-26T13:46:27.010+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=671) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:46:27.021+0000] {standard_task_runner.py:72} INFO - Started process 690 to run task
[2025-03-26T13:46:27.036+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app1', 'scheduled__2025-03-25T01:30:00+00:00', '--job-id', '58', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmp5qrbqfb1']
[2025-03-26T13:46:27.061+0000] {standard_task_runner.py:105} INFO - Job 58: Subtask php_app1
[2025-03-26T13:46:27.625+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:30:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:46:33.169+0000] {docker.py:69} INFO -     [
[2025-03-26T13:46:33.169+0000] {docker.py:69} INFO - "
[2025-03-26T13:46:33.170+0000] {docker.py:69} INFO - container
[2025-03-26T13:46:33.170+0000] {docker.py:69} INFO - "]=>
[2025-03-26T13:46:33.171+0000] {docker.py:69} INFO - 
[2025-03-26T13:46:33.172+0000] {docker.py:69} INFO - string(8) "
[2025-03-26T13:46:33.172+0000] {docker.py:69} INFO - php-app2
[2025-03-26T13:46:33.173+0000] {docker.py:69} INFO - "
[2025-03-26T13:46:33.173+0000] {docker.py:69} INFO -     [
[2025-03-26T13:46:33.174+0000] {docker.py:69} INFO - "timestamp"]=>
[2025-03-26T13:46:33.174+0000] {docker.py:69} INFO -     int(1742996309)
[2025-03-26T13:46:33.174+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.175+0000] {docker.py:69} INFO -   [15]=>
[2025-03-26T13:46:33.175+0000] {docker.py:69} INFO -   object(stdClass)#17 (3) {
[2025-03-26T13:46:33.176+0000] {docker.py:69} INFO -     ["contador
[2025-03-26T13:46:33.176+0000] {docker.py:69} INFO - "]=>
[2025-03-26T13:46:33.177+0000] {docker.py:69} INFO - 
[2025-03-26T13:46:33.177+0000] {docker.py:69} INFO - int(1)
[2025-03-26T13:46:33.178+0000] {docker.py:69} INFO -     [
[2025-03-26T13:46:33.178+0000] {docker.py:69} INFO - "container"
[2025-03-26T13:46:33.179+0000] {docker.py:69} INFO - ]=>
[2025-03-26T13:46:33.179+0000] {docker.py:69} INFO - string(8) "php-app2
[2025-03-26T13:46:33.180+0000] {docker.py:69} INFO - "
[2025-03-26T13:46:33.181+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:33.181+0000] {docker.py:69} INFO -     int(1742996309)
[2025-03-26T13:46:33.181+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.182+0000] {docker.py:69} INFO -   [16]=>
[2025-03-26T13:46:33.182+0000] {docker.py:69} INFO -   object(stdClass)#18 (3) {
[2025-03-26T13:46:33.183+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:33.183+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.184+0000] {docker.py:69} INFO -     ["container
[2025-03-26T13:46:33.184+0000] {docker.py:69} INFO - "
[2025-03-26T13:46:33.185+0000] {docker.py:69} INFO - ]=>
[2025-03-26T13:46:33.185+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:33.186+0000] {docker.py:69} INFO -     [
[2025-03-26T13:46:33.186+0000] {docker.py:69} INFO - "timestamp"
[2025-03-26T13:46:33.187+0000] {docker.py:69} INFO - ]=>
[2025-03-26T13:46:33.187+0000] {docker.py:69} INFO - 
[2025-03-26T13:46:33.188+0000] {docker.py:69} INFO - int(1742996310)
[2025-03-26T13:46:33.188+0000] {docker.py:69} INFO - }
[2025-03-26T13:46:33.189+0000] {docker.py:69} INFO -   [17]=>
[2025-03-26T13:46:33.189+0000] {docker.py:69} INFO - object(stdClass)#19 (3) {
[2025-03-26T13:46:33.190+0000] {docker.py:69} INFO -     ["contador
[2025-03-26T13:46:33.191+0000] {docker.py:69} INFO - "
[2025-03-26T13:46:33.191+0000] {docker.py:69} INFO - ]=>
[2025-03-26T13:46:33.192+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.192+0000] {docker.py:69} INFO -     [
[2025-03-26T13:46:33.193+0000] {docker.py:69} INFO - "
[2025-03-26T13:46:33.194+0000] {docker.py:69} INFO - container"]=>
[2025-03-26T13:46:33.194+0000] {docker.py:69} INFO -     string(8) "php-app2
[2025-03-26T13:46:33.195+0000] {docker.py:69} INFO - "
[2025-03-26T13:46:33.195+0000] {docker.py:69} INFO -     ["
[2025-03-26T13:46:33.196+0000] {docker.py:69} INFO - timestamp"]=>
[2025-03-26T13:46:33.196+0000] {docker.py:69} INFO - int(1742996310)
[2025-03-26T13:46:33.197+0000] {docker.py:69} INFO - 
[2025-03-26T13:46:33.197+0000] {docker.py:69} INFO - }
[2025-03-26T13:46:33.198+0000] {docker.py:69} INFO -   [18]=>
[2025-03-26T13:46:33.198+0000] {docker.py:69} INFO - 
[2025-03-26T13:46:33.199+0000] {docker.py:69} INFO - object(stdClass)#20 (3) {
[2025-03-26T13:46:33.199+0000] {docker.py:69} INFO -     [
[2025-03-26T13:46:33.200+0000] {docker.py:69} INFO - "
[2025-03-26T13:46:33.201+0000] {docker.py:69} INFO - contador
[2025-03-26T13:46:33.201+0000] {docker.py:69} INFO - "
[2025-03-26T13:46:33.202+0000] {docker.py:69} INFO - ]=>
[2025-03-26T13:46:33.203+0000] {docker.py:69} INFO - 
[2025-03-26T13:46:33.232+0000] {docker.py:69} INFO - int(1)
[2025-03-26T13:46:33.233+0000] {docker.py:69} INFO -     ["
[2025-03-26T13:46:33.234+0000] {docker.py:69} INFO - container
