[2025-03-26T13:49:11.206+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:49:11.466+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T06:05:00+00:00 [queued]>
[2025-03-26T13:49:11.615+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T06:05:00+00:00 [queued]>
[2025-03-26T13:49:11.615+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:49:12.080+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app2> on 2025-03-25 06:05:00+00:00
[2025-03-26T13:49:12.113+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app2', 'scheduled__2025-03-25T06:05:00+00:00', '--job-id', '169', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmplfusb67q']
[2025-03-26T13:49:12.123+0000] {standard_task_runner.py:105} INFO - Job 169: Subtask php_app2
[2025-03-26T13:49:12.127+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1096) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:49:12.129+0000] {standard_task_runner.py:72} INFO - Started process 1106 to run task
[2025-03-26T13:49:12.447+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T06:05:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:49:26.346+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:49:26.346+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:26.347+0000] {docker.py:69} INFO -     int(1742996305)
[2025-03-26T13:49:26.347+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:26.348+0000] {docker.py:69} INFO -   [12]=>
[2025-03-26T13:49:26.348+0000] {docker.py:69} INFO -   object(stdClass)#14 (3) {
[2025-03-26T13:49:26.349+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:26.349+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:26.350+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:26.350+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:49:26.351+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:26.351+0000] {docker.py:69} INFO -     int(1742996309)
[2025-03-26T13:49:26.351+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:26.352+0000] {docker.py:69} INFO -   [13]=>
[2025-03-26T13:49:26.352+0000] {docker.py:69} INFO -   object(stdClass)#15 (3) {
[2025-03-26T13:49:26.353+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:26.354+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:26.355+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:26.355+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:49:26.356+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:26.356+0000] {docker.py:69} INFO -     int(1742996309)
[2025-03-26T13:49:26.357+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:26.357+0000] {docker.py:69} INFO -   [14]=>
[2025-03-26T13:49:26.358+0000] {docker.py:69} INFO -   object(stdClass)#16 (3) {
[2025-03-26T13:49:26.359+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:26.360+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:26.361+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:26.362+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:49:26.362+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:26.363+0000] {docker.py:69} INFO -     int(1742996309)
[2025-03-26T13:49:26.363+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:26.364+0000] {docker.py:69} INFO -   [15]=>
[2025-03-26T13:49:26.364+0000] {docker.py:69} INFO -   object(stdClass)#17 (3) {
[2025-03-26T13:49:26.365+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:26.365+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:26.366+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:26.366+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:49:26.367+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:26.367+0000] {docker.py:69} INFO -     int(1742996309)
[2025-03-26T13:49:26.368+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:26.369+0000] {docker.py:69} INFO -   [16]=>
[2025-03-26T13:49:26.369+0000] {docker.py:69} INFO -   object(stdClass)#18 (3) {
[2025-03-26T13:49:26.370+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:26.371+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:26.371+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:26.372+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:49:26.373+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:26.373+0000] {docker.py:69} INFO -     int(1742996310)
[2025-03-26T13:49:26.374+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:26.374+0000] {docker.py:69} INFO -   [17]=>
[2025-03-26T13:49:26.375+0000] {docker.py:69} INFO -   object(stdClass)#19 (3) {
[2025-03-26T13:49:26.375+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:26.375+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:26.375+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:26.376+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:49:26.376+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:26.376+0000] {docker.py:69} INFO -     int(1742996310)
[2025-03-26T13:49:26.376+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:26.377+0000] {docker.py:69} INFO -   [18]=>
[2025-03-26T13:49:26.377+0000] {docker.py:69} INFO -   object(stdClass)#20 (3) {
[2025-03-26T13:49:26.377+0000] {docker.py:69} INFO -     ["
[2025-03-26T13:49:26.378+0000] {docker.py:69} INFO - contador"]=>
[2025-03-26T13:49:26.378+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:26.379+0000] {docker.py:69} INFO -     ["
[2025-03-26T13:49:26.379+0000] {docker.py:69} INFO - container"]=>
[2025-03-26T13:49:26.380+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:49:26.380+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:26.381+0000] {docker.py:69} INFO -     int(1742996310)
[2025-03-26T13:49:26.381+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:26.382+0000] {docker.py:69} INFO -   [19]=>
[2025-03-26T13:49:26.382+0000] {docker.py:69} INFO - object(stdClass)#21 (3) {
[2025-03-26T13:49:26.383+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:49:26.383+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:26.383+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:26.384+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:49:26.385+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:49:26.385+0000] {docker.py:69} INFO -     int(1742996311)
[2025-03-26T13:49:26.386+0000] {docker.py:69} INFO - }
[2025-03-26T13:49:26.386+0000] {docker.py:69} INFO -   [20]=>
[2025-03-26T13:49:26.387+0000] {docker.py:69} INFO -   object(stdClass)#22 (3) {
[2025-03-26T13:49:26.388+0000] {docker.py:69} INFO -     ["contador
[2025-03-26T13:49:26.388+0000] {docker.py:69} INFO - "]=>
[2025-03-26T13:49:26.389+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:49:26.389+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:49:26.390+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:49:26.390+0000] {docker.py:69} INFO -     ["
[2025-03-26T13:49:26.391+0000] {docker.py:69} INFO - timestamp"]=>
[2025-03-26T13:49:26.392+0000] {docker.py:69} INFO -     int(1742996311)
[2025-03-26T13:49:26.392+0000] {docker.py:69} INFO -   }
[2025-03-26T13:49:26.392+0000] {docker.py:69} INFO -   [21]=>
